1,1.35704E+15,Jan-01,Tue
1,1.35705E+15,Jan-01,Tue
1,1.35707E+15,Jan-01,Tue
1,1.35708E+15,Jan-01,Tue
4,1.35703E+15,Jan-01,Tue
4,1.35704E+15,Jan-01,Tue
4,1.35705E+15,Jan-01,Tue
4,1.35706E+15,Jan-01,Tue
4,1.35707E+15,Jan-01,Tue
4,1.35708E+15,Jan-01,Tue
7,1.35703E+15,Jan-01,Tue
7,1.35704E+15,Jan-01,Tue
7,1.35705E+15,Jan-01,Tue
7,1.35706E+15,Jan-01,Tue
7,1.35707E+15,Jan-01,Tue
7,1.35708E+15,Jan-01,Tue
9,1.35703E+15,Jan-01,Tue
9,1.35704E+15,Jan-01,Tue
9,1.35705E+15,Jan-01,Tue
9,1.35706E+15,Jan-01,Tue
9,1.35707E+15,Jan-01,Tue
9,1.35708E+15,Jan-01,Tue
11,1.35703E+15,Jan-01,Tue
11,1.35704E+15,Jan-01,Tue
11,1.35705E+15,Jan-01,Tue
11,1.35706E+15,Jan-01,Tue
11,1.35707E+15,Jan-01,Tue
13,1.35703E+15,Jan-01,Tue
13,1.35704E+15,Jan-01,Tue
13,1.35705E+15,Jan-01,Tue
13,1.35706E+15,Jan-01,Tue
13,1.35707E+15,Jan-01,Tue
13,1.35708E+15,Jan-01,Tue
14,1.35703E+15,Jan-01,Tue
14,1.35704E+15,Jan-01,Tue
14,1.35705E+15,Jan-01,Tue
14,1.35706E+15,Jan-01,Tue
14,1.35707E+15,Jan-01,Tue
14,1.35708E+15,Jan-01,Tue
15,1.35703E+15,Jan-01,Tue
15,1.35704E+15,Jan-01,Tue
15,1.35705E+15,Jan-01,Tue
15,1.35706E+15,Jan-01,Tue
15,1.35707E+15,Jan-01,Tue
15,1.35708E+15,Jan-01,Tue
16,1.35703E+15,Jan-01,Tue
16,1.35704E+15,Jan-01,Tue
16,1.35705E+15,Jan-01,Tue
16,1.35706E+15,Jan-01,Tue
16,1.35707E+15,Jan-01,Tue
16,1.35708E+15,Jan-01,Tue
17,1.35705E+15,Jan-01,Tue
18,1.35703E+15,Jan-01,Tue
18,1.35704E+15,Jan-01,Tue
18,1.35705E+15,Jan-01,Tue
18,1.35706E+15,Jan-01,Tue
18,1.35707E+15,Jan-01,Tue
220,1.35705E+15,Jan-01,Tue
220,1.35706E+15,Jan-01,Tue
25,1.35703E+15,Jan-01,Tue
25,1.35704E+15,Jan-01,Tue
25,1.35705E+15,Jan-01,Tue
25,1.35706E+15,Jan-01,Tue
25,1.35707E+15,Jan-01,Tue
25,1.35708E+15,Jan-01,Tue
27,1.35703E+15,Jan-01,Tue
27,1.35704E+15,Jan-01,Tue
27,1.35705E+15,Jan-01,Tue
27,1.35706E+15,Jan-01,Tue
27,1.35707E+15,Jan-01,Tue
27,1.35708E+15,Jan-01,Tue
29,1.35705E+15,Jan-01,Tue
29,1.35708E+15,Jan-01,Tue
31,1.35704E+15,Jan-01,Tue
31,1.35705E+15,Jan-01,Tue
31,1.35706E+15,Jan-01,Tue
33,1.35706E+15,Jan-01,Tue
33,1.35707E+15,Jan-01,Tue
37,1.35703E+15,Jan-01,Tue
37,1.35704E+15,Jan-01,Tue
37,1.35705E+15,Jan-01,Tue
37,1.35706E+15,Jan-01,Tue
37,1.35707E+15,Jan-01,Tue
37,1.35708E+15,Jan-01,Tue
238,1.35704E+15,Jan-01,Tue
238,1.35705E+15,Jan-01,Tue
238,1.35706E+15,Jan-01,Tue
238,1.35707E+15,Jan-01,Tue
238,1.35708E+15,Jan-01,Tue
38,1.35704E+15,Jan-01,Tue
38,1.35705E+15,Jan-01,Tue
38,1.35706E+15,Jan-01,Tue
38,1.35707E+15,Jan-01,Tue
39,1.35703E+15,Jan-01,Tue
39,1.35704E+15,Jan-01,Tue
39,1.35705E+15,Jan-01,Tue
39,1.35706E+15,Jan-01,Tue
39,1.35707E+15,Jan-01,Tue
39,1.35708E+15,Jan-01,Tue
40,1.35703E+15,Jan-01,Tue
40,1.35704E+15,Jan-01,Tue
40,1.35705E+15,Jan-01,Tue
40,1.35706E+15,Jan-01,Tue
40,1.35707E+15,Jan-01,Tue
40,1.35708E+15,Jan-01,Tue
41,1.35704E+15,Jan-01,Tue
41,1.35705E+15,Jan-01,Tue
41,1.35706E+15,Jan-01,Tue
41,1.35707E+15,Jan-01,Tue
42,1.35704E+15,Jan-01,Tue
42,1.35705E+15,Jan-01,Tue
42,1.35706E+15,Jan-01,Tue
