1,-334.0530616576462,Jan  1,Tue
4,-368.9188452285485,Jan  1,Tue
7,-459.43418013856814,Jan  1,Tue
9,-334.6696088611977,Jan  1,Tue
11,63.45562074186223,Jan  1,Tue
13,-297.74902358610194,Jan  1,Tue
14,-251.01728890002505,Jan  1,Tue
15,-293.58505623995717,Jan  1,Tue
16,-302.0109079112769,Jan  1,Tue
17,-88.40050377833754,Jan  1,Tue
18,138.60380217660835,Jan  1,Tue
220,2.795983086680761,Jan  1,Tue
25,-90.25476070528967,Jan  1,Tue
27,-265.60544494108086,Jan  1,Tue
29,-174.98825804669153,Jan  1,Tue
31,-171.47977371357717,Jan  1,Tue
33,19.810965401785715,Jan  1,Tue
37,-142.25488092683975,Jan  1,Tue
38,-206.06670546301012,Jan  1,Tue
238,104.03801317790168,Jan  1,Tue
39,-319.83995565871066,Jan  1,Tue
40,-300.89903132063284,Jan  1,Tue
41,-66.409093145697,Jan  1,Tue
42,-137.82440880674096,Jan  1,Tue
44,-83.1027528337995,Jan  1,Tue
46,-239.03602131008597,Jan  1,Tue
49,-70.70599781897492,Jan  1,Tue
451,90.248382923674,Jan  1,Tue
53,168.40794223826714,Jan  1,Tue
54,-188.93114899269426,Jan  1,Tue
56,1.1474251093907775,Jan  1,Tue
59,157.48745674740485,Jan  1,Tue
63,207.46870569171563,Jan  1,Tue
65,-59.17270345948875,Jan  1,Tue
66,-120.4880694143167,Jan  1,Tue
67,25.563695249845775,Jan  1,Tue
68,190.0137997432606,Jan  1,Tue
271,42.265818952467455,Jan  1,Tue
272,-42.10278098167372,Jan  1,Tue
75,172.8891178895301,Jan  1,Tue
76,-19.869406737053797,Jan  1,Tue
79,-65.9327224219928,Jan  1,Tue
83,-338.49441164670145,Jan  1,Tue
84,63.87762480878877,Jan  1,Tue
102,-64.57554391619662,Jan  1,Tue
104,-14.845124282982791,Jan  1,Tue
120,136.17919320594478,Jan  1,Tue
122,-57.066527601877375,Jan  1,Tue
123,-120.89602169981917,Jan  1,Tue
130,-90.25862722791051,Jan  1,Tue
331,295.7757274662882,Jan  1,Tue
332,68.91624365482234,Jan  1,Tue
140,-303.4912137310993,Jan  1,Tue
145,-456.0973134621041,Jan  1,Tue
747,-93.95365202620724,Jan  1,Tue
150,-61.57024303497332,Jan  1,Tue
151,-181.43279246794873,Jan  1,Tue
171,-133.01433998100666,Jan  1,Tue
1,-223.6679332253644,Jan  2,Wed
4,-369.07523661638567,Jan  2,Wed
7,-416.04011347367305,Jan  2,Wed
9,-291.0100373764167,Jan  2,Wed
11,-151.05203271304967,Jan  2,Wed
13,-501.20975381123884,Jan  2,Wed
14,-318.732333413972,Jan  2,Wed
15,-298.72168034991694,Jan  2,Wed
16,-406.2122917513206,Jan  2,Wed
17,-204.1232038091999,Jan  2,Wed
18,95.69244363193175,Jan  2,Wed
220,290.5725239616613,Jan  2,Wed
25,28.522462281909363,Jan  2,Wed
27,-392.5923330362689,Jan  2,Wed
29,-201.67786194083178,Jan  2,Wed
31,-126.99372108393919,Jan  2,Wed
32,-235.69871159563925,Jan  2,Wed
33,-10.80729935628654,Jan  2,Wed
37,-258.7058877985558,Jan  2,Wed
38,-149.99215946843853,Jan  2,Wed
238,149.990878214459,Jan  2,Wed
39,-355.9892275821249,Jan  2,Wed
40,-194.08810692417146,Jan  2,Wed
41,-156.25662012518055,Jan  2,Wed
42,-317.3708009231558,Jan  2,Wed
44,-173.0476624668435,Jan  2,Wed
46,-463.1011874944751,Jan  2,Wed
49,-259.0417962003454,Jan  2,Wed
451,-24.790060559454005,Jan  2,Wed
51,317.3687732342007,Jan  2,Wed
53,215.2005444646098,Jan  2,Wed
54,-284.7972851492269,Jan  2,Wed
56,9.075853608668984,Jan  2,Wed
59,289.0626455519329,Jan  2,Wed
63,229.41404312154168,Jan  2,Wed
65,-339.8264535872152,Jan  2,Wed
66,-150.96301624251302,Jan  2,Wed
67,49.82733237317971,Jan  2,Wed
68,-27.352350653941322,Jan  2,Wed
271,-46.057128745472504,Jan  2,Wed
272,71.73420520596412,Jan  2,Wed
75,305.5072153254773,Jan  2,Wed
76,-151.48943634520933,Jan  2,Wed
79,3.360337387210671,Jan  2,Wed
83,-438.4087580593401,Jan  2,Wed
84,-134.77299942058843,Jan  2,Wed
102,19.991178275544645,Jan  2,Wed
104,-98.99951934631099,Jan  2,Wed
111,-51.77682926829268,Jan  2,Wed
114,-67.82671755725191,Jan  2,Wed
116,-776.8491124260355,Jan  2,Wed
118,673.3314285714285,Jan  2,Wed
120,170.88333164248758,Jan  2,Wed
122,-204.43754958867498,Jan  2,Wed
123,-169.57095290946566,Jan  2,Wed
130,-73.16953974895398,Jan  2,Wed
331,167.98,Jan  2,Wed
332,153.74296205630355,Jan  2,Wed
140,-365.2798887859129,Jan  2,Wed
142,-16.99368932038835,Jan  2,Wed
145,-477.2378195079817,Jan  2,Wed
747,-30.419853317414294,Jan  2,Wed
150,-187.11541140955183,Jan  2,Wed
151,-288.31241257110884,Jan  2,Wed
171,-269.93193648571804,Jan  2,Wed
1,-193.4859075535513,Jan  3,Thu
4,-218.19191720447034,Jan  3,Thu
7,-286.80298432671697,Jan  3,Thu
9,-191.8906881379269,Jan  3,Thu
11,-135.49567430025445,Jan  3,Thu
13,-353.35724899697857,Jan  3,Thu
14,-245.93269230769232,Jan  3,Thu
15,-274.14948746505445,Jan  3,Thu
16,-319.982057697654,Jan  3,Thu
17,-214.8885467453597,Jan  3,Thu
18,168.82668890742286,Jan  3,Thu
220,243.39244116947944,Jan  3,Thu
